file,scenario,sheet,cell,expected_detection,expected_rule,expected_subtype,severity,description,why_it_matters,manual_check
01_월간매출_관리.xlsx,월간 매출·부가세 관리,판매내역,G23,SHOULD_DETECT,FORMULA_PATTERN_OUTLIER,FUNCTION_PATTERN_DRIFT,HIGH,공급가액 계산열에서 한 셀만 SUM 함수를 사용,수량×단가×할인율 계산 대신 다른 계산식이 들어가 주문 금액이 왜곡될 수 있음,"G22, G24와 수식 구조를 비교"
01_월간매출_관리.xlsx,월간 매출·부가세 관리,판매내역,H37,SHOULD_DETECT,FORMULA_PATTERN_GAP,CONSTANT_OVERRIDE_CANDIDATE,MEDIUM,부가세 계산열에서 한 셀만 수식 대신 상수 입력,원천 금액이 바뀌어도 부가세가 갱신되지 않을 수 있음,"H36, H38이 G행의 10%를 계산하는지 비교"
01_월간매출_관리.xlsx,월간 매출·부가세 관리,판매내역,I48,SHOULD_DETECT,FORMULA_PATTERN_GAP,BLANK_GAP_CANDIDATE,HIGH,합계 계산열의 중간 셀이 비어 있음,해당 거래가 총액 집계에서 누락될 수 있음,"I47, I49와 비교하여 G48+H48 수식 필요 여부 확인"
01_월간매출_관리.xlsx,월간 매출·부가세 관리,판매내역,G52,SHOULD_DETECT,FORMULA_PATTERN_OUTLIER,RELATIVE_REFERENCE_DRIFT,HIGH,공급가액 수식이 현재 행 수량이 아닌 이전 행 수량을 참조,다른 주문의 수량이 사용되어 계산 결과가 조용히 왜곡될 수 있음,"G51, G53의 상대참조 구조와 비교"
02_재고수불_관리.xlsx,재고 수불·현재고 관리,입출고,F18,SHOULD_DETECT,FORMULA_PATTERN_OUTLIER,FUNCTION_PATTERN_DRIFT,HIGH,입출고 금액 계산열에서 한 셀만 SUM 함수를 사용,입고/출고 부호 로직이 사라져 재고 금액이 왜곡될 수 있음,"F17, F19의 IF 조건식과 비교"
02_재고수불_관리.xlsx,재고 수불·현재고 관리,입출고,F34,SHOULD_DETECT,FORMULA_PATTERN_GAP,CONSTANT_OVERRIDE_CANDIDATE,MEDIUM,금액 계산열에서 수식 대신 상수 금액 입력,수량·단가 변경 시 금액이 자동 갱신되지 않음,"F33, F35의 계산식 구조와 비교"
02_재고수불_관리.xlsx,재고 수불·현재고 관리,입출고,F55,SHOULD_DETECT,FORMULA_PATTERN_GAP,BLANK_GAP_CANDIDATE,HIGH,금액 계산열 중간 셀이 비어 있음,해당 이동내역의 금액이 집계에서 누락될 수 있음,"F54, F56과 비교"
02_재고수불_관리.xlsx,재고 수불·현재고 관리,입출고,F69,SHOULD_DETECT,FORMULA_PATTERN_OUTLIER,RELATIVE_REFERENCE_DRIFT,HIGH,현재 행이 아닌 이전 행의 입출고 구분을 참조,출고가 입고로 또는 입고가 출고로 계산될 수 있음,"F68, F70의 C열 참조 행과 비교"
03_미수금_채권관리.xlsx,미수금·채권 연령 관리,매출채권,F17,SHOULD_DETECT,FORMULA_PATTERN_OUTLIER,RELATIVE_REFERENCE_DRIFT,HIGH,입금액 SUMIF가 현재 청구번호가 아닌 이전 행 청구번호를 기준으로 집계,다른 청구의 입금액이 연결되어 잔액이 왜곡될 수 있음,"F16, F18의 A열 기준행과 비교"
03_미수금_채권관리.xlsx,미수금·채권 연령 관리,매출채권,G29,SHOULD_DETECT,FORMULA_PATTERN_GAP,CONSTANT_OVERRIDE_CANDIDATE,HIGH,잔액 계산열에서 수식 대신 상수 입력,청구금액이나 입금액이 바뀌어도 잔액이 갱신되지 않음,"G28, G30의 D-F 계산식과 비교"
03_미수금_채권관리.xlsx,미수금·채권 연령 관리,매출채권,H41,SHOULD_DETECT,FORMULA_PATTERN_GAP,BLANK_GAP_CANDIDATE,MEDIUM,연체일수 계산열의 중간 셀이 비어 있음,연령구간과 연체 보고에서 누락되거나 잘못 분류될 수 있음,"H40, H42의 기준일-만기일 구조와 비교"
03_미수금_채권관리.xlsx,미수금·채권 연령 관리,매출채권,I36,SHOULD_DETECT,FORMULA_PATTERN_OUTLIER,FUNCTION_PATTERN_DRIFT,MEDIUM,연령구간 분류식이 주변의 다단계 구간식과 다름,31~90일 구간이 모두 정상으로 분류될 수 있음,"I35, I37의 중첩 IF 구간과 비교"
04_제품원가_계산.xlsx,제품별 제조원가 계산,원재료사용,F11,SHOULD_DETECT,FORMULA_PATTERN_OUTLIER,FUNCTION_PATTERN_DRIFT,HIGH,원재료 소요금액 열에서 한 셀만 SUM 함수를 사용,사용량×단가×손실률이 아닌 다른 값이 계산될 수 있음,"F10, F12의 곱셈 구조와 비교"
04_제품원가_계산.xlsx,제품별 제조원가 계산,원재료사용,F22,SHOULD_DETECT,FORMULA_PATTERN_OUTLIER,ABSOLUTE_REFERENCE_DRIFT,MEDIUM,사용량 참조가 한 셀만 절대참조로 고정,행 복사·수정 시 특정 사용량만 계속 참조할 수 있음,"F21, F23의 C열 상대참조와 비교"
04_제품원가_계산.xlsx,제품별 제조원가 계산,원재료사용,F33,SHOULD_DETECT,FORMULA_PATTERN_GAP,CONSTANT_OVERRIDE_CANDIDATE,HIGH,소요금액 계산열에 수식 대신 고정 금액 입력,단가·사용량 변경이 제품원가에 반영되지 않을 수 있음,"F32, F34와 비교"
04_제품원가_계산.xlsx,제품별 제조원가 계산,원재료사용,F44,SHOULD_DETECT,FORMULA_PATTERN_GAP,BLANK_GAP_CANDIDATE,HIGH,소요금액 계산열의 중간 셀이 비어 있음,해당 원재료 비용이 제품원가에서 누락될 수 있음,"F43, F45와 비교"
