file,scenario,sheet,cell,expected_detection,expected_rule,expected_subtype,severity,description,why_it_matters,manual_check
11_구매발주_관리.xlsx,구매·발주 및 미입고 관리,발주내역,G19,SHOULD_DETECT,FORMULA_PATTERN_OUTLIER,FUNCTION_PATTERN_DRIFT,HIGH,발주금액 열에서 곱셈 대신 SUM 사용,수량과 단가를 더해 금액이 크게 왜곡될 수 있음,G18·G20의 E×F 패턴과 비교
11_구매발주_관리.xlsx,구매·발주 및 미입고 관리,발주내역,I31,SHOULD_DETECT,FORMULA_PATTERN_OUTLIER,RELATIVE_REFERENCE_DRIFT,HIGH,미입고수량이 현재 행이 아닌 이전 행 발주수량을 참조,다른 발주의 수량 기준으로 미입고가 계산될 수 있음,I30·I32의 현재 행 E-H 패턴과 비교
11_구매발주_관리.xlsx,구매·발주 및 미입고 관리,발주내역,J43,SHOULD_DETECT,FORMULA_PATTERN_GAP,CONSTANT_OVERRIDE_CANDIDATE,MEDIUM,납기상태 계산열에 고정 텍스트 입력,입고수량이나 납기일이 바뀌어도 상태가 갱신되지 않음,J42·J44의 IF 상태식과 비교
11_구매발주_관리.xlsx,구매·발주 및 미입고 관리,발주내역,G54,SHOULD_DETECT,FORMULA_PATTERN_GAP,BLANK_GAP_CANDIDATE,HIGH,발주금액 계산열 중간 셀이 비어 있음,공급처별 발주금액 집계에서 누락될 수 있음,G53·G55의 E×F 패턴과 비교
12_현금흐름_자금계획.xlsx,일별 현금흐름·자금계획,자금계획,E21,SHOULD_DETECT,FORMULA_PATTERN_OUTLIER,FUNCTION_PATTERN_DRIFT,HIGH,순현금흐름 열에서 차감 대신 SUM 사용,출금이 차감되지 않고 더해져 잔액이 과대 계산될 수 있음,E20·E22의 C-D 패턴과 비교
12_현금흐름_자금계획.xlsx,일별 현금흐름·자금계획,자금계획,F33,SHOULD_DETECT,FORMULA_PATTERN_OUTLIER,RELATIVE_REFERENCE_DRIFT,HIGH,기초잔액이 직전 행이 아닌 두 행 전 기말잔액을 참조,하루의 현금흐름이 누락될 수 있음,F32·F34의 직전 행 G 참조와 비교
12_현금흐름_자금계획.xlsx,일별 현금흐름·자금계획,자금계획,G45,SHOULD_DETECT,FORMULA_PATTERN_GAP,CONSTANT_OVERRIDE_CANDIDATE,HIGH,기말잔액 열에 고정 금액 입력,이후 잔액 연결 전체가 잘못될 수 있음,G44·G46의 F+E 패턴과 비교
12_현금흐름_자금계획.xlsx,일별 현금흐름·자금계획,자금계획,H57,SHOULD_DETECT,FORMULA_PATTERN_GAP,BLANK_GAP_CANDIDATE,MEDIUM,자금상태 계산열 중간 셀이 비어 있음,부족일수 집계에서 누락될 수 있음,H56·H58의 IF 상태식과 비교
13_고정자산_감가상각.xlsx,고정자산·감가상각 관리,자산대장,G17,SHOULD_DETECT,FORMULA_PATTERN_OUTLIER,FUNCTION_PATTERN_DRIFT,HIGH,월상각액 열에서 나눗셈 대신 SUM 사용,월상각액이 비정상적으로 커질 수 있음,G16·G18의 D/E 패턴과 비교
13_고정자산_감가상각.xlsx,고정자산·감가상각 관리,자산대장,H28,SHOULD_DETECT,FORMULA_PATTERN_OUTLIER,RELATIVE_REFERENCE_DRIFT,HIGH,누계상각이 현재 자산이 아닌 이전 행 경과개월을 참조,다른 자산의 사용기간이 적용될 수 있음,H27·H29의 현재 행 F×G 패턴과 비교
